url,label,domain,subdomain,tld,domain_len,subdomain_count,path_len,path_token_count,path_entropy,path_digit_ratio,url_len,has_at_symbol,hyphen_count,param_count,is_https,domain_age_days,domain_exp_days
vjyslonlp.biz/checkupdate,0,vjyslonlp,,biz,9,0,25,2,4.323856189774725,0.0,25,0,0,0,0,-1,-1
cerviacasa.it/cache/ajaoi/,0,cerviacasa,,it,10,0,26,3,3.3535339485774815,0.0,26,0,0,0,0,6781,21
www.tek-tips.com/threadminder.cfm?pid=619,1,tek-tips,www,com,8,1,33,2,4.081532376606413,0.0,41,0,1,1,0,10267,323
twitter.com/laurenceleboeuf,1,twitter,,com,7,0,27,2,3.7784235030301248,0.0,27,0,0,0,0,9368,128
http://www.activeliving.com.au/Dropbox/,0,activeliving,www,com.au,12,1,9,1,2.725480556997868,0.0,39,0,0,0,0,-1,-1
https://connect-secur3d-userwellsfarg0.com/,0,connect-secur3d-userwellsfarg0,,com,30,0,1,0,-0.0,0.0,43,0,2,0,1,-1,-1
secure3id.paypal.manage.account.spellberry.com,0,spellberry,secure3id.paypal.manage.account,com,10,4,46,1,4.021527522800473,0.021739130434782608,46,0,0,0,0,63,301
logosplus.mk/fonts/aly/ifr/bmw/mia.html??cmd=step2&amp;Dispatch=rzre6zren6cczre1d,0,logosplus,,mk,9,0,39,6,4.077212078381127,0.0,81,0,0,3,0,-1,-1
youtube.com/watch?v=64F1MSLDrvg,1,youtube,,com,7,0,17,2,3.616874605956222,0.0,31,0,0,1,0,7516,153
http://tookout00tove.xyz/TNC/tnc/newtncupdating/TNC_webmail.html,0,tookout00tove,,xyz,13,0,40,4,4.221928094887363,0.0,64,0,0,0,0,-1,-1
https://qa.smbc.card02-taikai.club/mem/index,0,card02-taikai,qa.smbc,club,13,2,10,2,2.721928094887362,0.0,44,0,1,0,1,-1,-1
affiliatesheavenonline.com/wp-includes/js/8-login-form,0,affiliatesheavenonline,,com,22,0,54,4,4.299269744124065,0.018518518518518517,54,0,3,0,0,-1,-1
bestchangas.net,0,bestchangas,,net,11,0,15,1,3.240223928941852,0.0,15,0,0,0,0,-1,-1
comicvine.com/sasquatch/29-1478/,1,comicvine,,com,9,0,32,3,4.288909765557392,0.1875,32,0,1,0,0,6998,306
pepinlachancelaforce.com/zancetres.htm,1,pepinlachancelaforce,,com,20,0,38,2,3.880186238416293,0.0,38,0,0,0,0,-1,-1
https://2834321.mediaspace.kaltura.com/user/login,0,kaltura,2834321.mediaspace,com,7,2,11,2,3.2776134368191157,0.0,49,0,0,0,1,7040,629
seoservicesouthflorida.com/vodafoneshop/vodafone_online-update.html,0,seoservicesouthflorida,,com,22,0,67,3,4.164595303647956,0.0,67,0,1,0,0,-1,-1
bylka.com,0,bylka,,com,5,0,9,1,3.169925001442312,0.0,9,0,0,0,0,5531,312
menardsrealestate.com/menardsrealestate/home.html,1,menardsrealestate,,com,17,0,49,3,3.573622732516334,0.0,49,0,0,0,0,6432,142
members.tripod.com/bb_catchers/catchers/listl.htm,1,tripod,members,com,6,1,49,4,3.9363663551860757,0.0,49,0,0,0,0,11308,378
content.usatoday.com/community/tags/topic.aspx?req=tag&tag=McClymonds,1,usatoday,content,com,8,1,46,4,3.8954347171530763,0.0,69,0,0,2,0,11461,227
vutests.com/paypal.com/us/cgi-bin/webscr_cmd=_home&amp;amp;amp;country_lang.x=true/webscr.php,0,vutests,,com,7,0,93,6,4.57880720036071,0.0,93,0,1,1,0,59,305
jesica03.beget.tech,0,beget,jesica03,tech,5,1,19,1,3.5110854081804272,0.10526315789473684,19,0,0,0,0,3303,349
usidentify.com/l/balkin,1,usidentify,,com,10,0,23,3,4.0559581516151235,0.0,23,0,0,0,0,5924,284
unityuser.blogspot.com,0,blogspot,unityuser,com,8,1,22,1,3.8796640049025943,0.0,22,0,0,0,0,9175,320
marxists.org/history/canada/quebec/patriotes-rebellion/nelson.htm,1,marxists,,org,8,0,65,6,4.23894465374982,0.0,65,0,1,0,0,9929,296
http://2017recover.esy.es/Sistem1/recovery-chekpoint-login.html,0,esy,2017recover,es,3,1,38,2,4.240962710641206,0.02631578947368421,63,0,2,0,0,-1,-1
nyfuturestars.com/pitchers.php?player=jon_niese,1,nyfuturestars,,com,13,0,30,2,3.939572261986723,0.0,47,0,0,1,0,7477,192
empresarial.novoappjuridico.cf,0,novoappjuridico,empresarial,cf,15,1,30,1,3.9144093452479405,0.0,30,0,0,0,0,-1,-1
williamsonherald.com/home?search_string=nance,1,williamsonherald,,com,16,0,25,2,3.7532696895151085,0.0,45,0,0,1,0,7248,43
curtwikstrom.com/,1,curtwikstrom,,com,12,0,17,1,3.4992275471326924,0.0,17,0,0,0,0,9526,2161
91.239.25.237:6892,0,91.239.25.237,,,13,0,18,1,3.086048612313038,0.7777777777777778,18,0,0,0,0,-1,-1
facebook.com/group.php?gid=2248428881,1,facebook,,com,8,0,22,2,3.6978458230844122,0.0,37,0,0,1,0,10396,3118
https://server-server-apple.xyz/,0,server-server-apple,,xyz,19,0,1,0,-0.0,0.0,32,0,2,0,1,-1,-1
http://lichtundliebeistleben.de/templates/Neues%20Verzeichnis/Impots.Gouvs/LogHome/file/bcc989b1e2e4a39c868d2f6cc038c7e0/redirection.php?g4d3bdOsiuarHDdBl0bEP6dBVy_wP1WJ6XZDh7nemRp9bv2mHJ0HYZaZV6xWExsS,0,lichtundliebeistleben,,de,21,0,105,7,4.8441449488626445,0.19047619047619047,201,0,0,1,0,-1,-1
amazon.com/Louis-Riel-Comic-Strip-Chester-Brown/dp/1896597637,1,amazon,,com,6,0,61,4,4.779281092357517,0.16393442622950818,61,0,5,0,0,11275,411
www.paypal.it.59976.amezionuk.org/dml0YWNjYXJvY2NvMTk2N2xpYmVAbGliZXJvLml0/login.do?client=dml0YWNjYXJvY2NvMTk2N2xpYmVAbGliZXJvLml0,0,amezionuk,www.paypal.it.59976,org,9,4,83,3,5.102163039880122,0.12048192771084337,131,0,0,1,0,319,45
webmail.proimune.com.br/mail/lang/oks/cmm/,0,proimune,webmail,com.br,8,1,42,5,3.9424637801696867,0.0,42,0,0,0,0,9182,1774
en.wikipedia.org/wiki/Dorion_(provincial_electoral_district),1,wikipedia,en,org,9,1,60,3,4.157425813763051,0.0,60,0,0,0,0,9010,120
citizendia.org/French_monarchs_family_tree,1,citizendia,,org,10,0,42,2,4.177566232096525,0.0,42,0,0,0,0,1381,79
bloggerreviews.info/0jlww3.php,0,bloggerreviews,,info,14,0,30,2,4.123231428797621,0.06666666666666667,30,0,0,0,0,-1,-1
ibiblio.org/Southern_Exposure/RFW.html,1,ibiblio,,org,7,0,38,3,4.366091329119192,0.0,38,0,0,0,0,9195,1031
rutherfordfire.org/mortimeravenuefirehouse.htm,1,rutherfordfire,,org,14,0,46,2,3.737022619809534,0.0,46,0,0,0,0,898,197
international.ucla.edu/article.asp?parentid=76527,1,ucla,international,edu,4,1,34,2,3.7304344445615856,0.0,49,0,0,1,0,14753,684
motorsport.com/openwheel/news/montreal-friday-qualifying-summary-2002-08-30/,1,motorsport,,com,10,0,76,4,4.516047132617511,0.10526315789473684,76,0,6,0,0,11338,1079
https://mnzhdqkroh.duckdns.org,0,duckdns,mnzhdqkroh,org,7,1,0,0,0.0,0.0,30,0,0,0,1,4537,1306
1-4.prosv.ru,0,prosv,1-4,ru,5,1,12,1,3.2516291673878226,0.16666666666666666,12,0,1,0,0,9141,355
www.angelfire.com/ego/ptracker/index.html,1,angelfire,www,com,9,1,41,4,4.171474187957335,0.0,41,0,0,0,0,9831,394
crownedheart.com/,1,crownedheart,,com,12,0,17,1,3.616874605956222,0.0,17,0,0,0,0,4932,180
http://fnbl.co.za/deek/?mboxid=i6060437485232676864_500,0,fnbl,,co.za,4,0,6,1,1.9182958340544896,0.0,55,0,0,1,0,801,294
camorg.net/document,0,camorg,,net,6,0,19,2,3.6163485660751644,0.0,19,0,0,0,0,-1,-1
http://ekl-not.verfier.shop/,0,verfier,ekl-not,shop,7,1,1,0,-0.0,0.0,28,0,1,0,0,-1,-1
https://amaezom.cfcvzls.cn/,0,cfcvzls,amaezom,cn,7,1,1,0,-0.0,0.0,27,0,0,0,1,-1,-1
wn.com/OREX,1,wn,,com,2,0,11,2,3.4594316186372973,0.0,11,0,0,0,0,11133,3112
montrealgazette.com/Ville+%c3%89mard+indoor+pool+close+year/5431815/story.html,1,montrealgazette,,com,15,0,78,4,4.524399059422617,0.1282051282051282,78,0,0,0,0,10858,98
answers.com/topic/fabrizio-de-andr-1,1,answers,,com,7,0,36,3,4.17619062614183,0.027777777777777776,36,0,3,0,0,10709,817
https://www.saisoncard.btgs0yx4w.cn,0,btgs0yx4w,www.saisoncard,cn,9,2,0,0,0.0,0.0,35,0,0,0,1,-1,-1
zoa.com/clearlake/fairman.html,1,zoa,,com,3,0,30,3,3.802910079649727,0.0,30,0,0,0,0,11058,419
hannibal.net/sports/x481351028/Mexico-soccer-defeats-Hannibal,1,hannibal,,net,8,0,61,4,4.564208707459751,0.14754098360655737,61,0,3,0,0,10175,50
powells.com/biblio?isbn=9781551436548,1,powells,,com,7,0,18,2,3.4193819456463714,0.0,37,0,0,1,0,11004,317
https://serverr.jo573.cn/,0,jo573,serverr,cn,5,1,1,0,-0.0,0.0,25,0,0,0,1,-1,-1
netherlandweb00000.000webhostapp.com,0,000webhostapp,netherlandweb00000,com,13,1,36,1,3.7810361125534233,0.2222222222222222,36,0,0,0,0,3413,1334
depeckergent.com,0,depeckergent,,com,12,0,16,1,3.375,0.0,16,0,0,0,0,3040,246
3264164348543balo3.blob.core.windows.net,0,windows,3264164348543balo3.blob.core,net,7,3,40,1,4.153055907333276,0.35,40,0,0,0,0,10993,262
insobjec.wwwaz1-ss19.a2hosted.com,0,a2hosted,insobjec.wwwaz1-ss19,com,8,2,33,1,4.12728313431329,0.12121212121212122,33,0,1,0,0,4338,1505
forts.org/history.htm,1,forts,,org,5,0,21,2,3.4273334938982645,0.0,21,0,0,0,0,10567,23
https://cut.ci/Web0pen,0,cut,,ci,3,0,8,1,2.75,0.125,22,0,0,0,1,926,-561
talbottrailinn.com,0,talbottrailinn,,com,14,0,18,1,3.350209029099897,0.0,18,0,0,0,0,5381,462
walksphotography.com,0,walksphotography,,com,16,0,20,1,3.784183719779189,0.0,20,0,0,0,0,-1,-1
www.certifiedcontent.mobi/ezineposter/images/last.php,0,certifiedcontent,www,mobi,16,1,53,4,4.140090682517518,0.0,53,0,0,0,0,-1,-1
legis.nd.gov/assembly/61-2009/house/representatives/bios/billamerman.html,1,nd,legis,gov,2,1,73,7,4.3911913404396365,0.0821917808219178,73,0,1,0,0,9077,15
http://nstotal.net/good/GDiver/ivxn/home/index.php,0,nstotal,,net,7,0,32,5,3.8164280318460246,0.0,50,0,0,0,0,6579,360
eancode.org/formgen/forms/form1.html,0,eancode,,org,7,0,36,4,3.8400832519721115,0.027777777777777776,36,0,0,0,0,53,311
amervets.com/replacement/lom.htm,1,amervets,,com,8,0,32,3,3.688307235905091,0.0,32,0,0,0,0,10657,298
frommers.com/destinations/paris/A25300.html,1,frommers,,com,8,0,43,4,4.268719696310997,0.11627906976744186,43,0,0,0,0,10716,241
http://www.stevescheese.com/shop/port-wine-cheese-spread-16oz/,1,stevescheese,www,com,12,1,35,2,3.911306145999518,0.05714285714285714,62,0,4,0,0,10743,214
forum-catalan.fr,0,forum-catalan,,fr,13,0,16,1,3.452819531114783,0.0,16,0,1,0,0,-1,-1
junekellygallery.com/lewis/lewis.htm,1,junekellygallery,,com,16,0,36,3,4.027719015921097,0.0,36,0,0,0,0,9952,638
http://ksmqdxymrm.duckdns.org,0,duckdns,ksmqdxymrm,org,7,1,0,0,0.0,0.0,29,0,0,0,0,4537,1306
accwebmov-desjardins.com,0,accwebmov-desjardins,,com,20,0,24,1,3.8868421881310113,0.0,24,0,1,0,0,-1,-1
insidetoronto.com/news/local/article/1039841--plenty-on-tap-in-downtown-toronto,1,insidetoronto,,com,13,0,79,5,4.16132369398662,0.08860759493670886,79,0,7,0,0,9118,1838
koreauke.org/product/skin1/index.html,0,koreauke,,org,8,0,37,4,4.2425766761474,0.02702702702702703,37,0,0,0,0,-1,-1
www.novathin.com/news/TheAirlaidManufacturingProcess_2_.pdf,1,novathin,www,com,8,1,59,3,4.5582538038123905,0.01694915254237288,59,0,0,0,0,9376,485
https://uncard.co.jp.w5t57z.cn,0,w5t57z,uncard.co.jp,cn,6,3,0,0,0.0,0.0,30,0,0,0,1,-1,-1
us.kkok.asia/login/en/login.html,0,kkok,us,asia,4,1,32,4,3.7723683589017414,0.0,32,0,0,0,0,-1,-1
ca.finance.yahoo.com/echarts?s=RGX.V,1,yahoo,ca.finance,com,5,2,28,2,3.6820058147602137,0.0,36,0,0,1,0,11197,126
https://137.220.141.73,0,137.220.141.73,,,14,0,0,0,0.0,0.0,22,0,0,0,1,-1,-1
unikum.tk,0,unikum,,tk,6,0,9,1,2.725480556997868,0.0,9,0,0,0,0,-1,-1
facebook.com/people/Pgd-Bukovci/100001782280138,1,facebook,,com,8,0,47,4,4.4270629270033615,0.3191489361702128,47,0,1,0,0,10396,3118
http://www.nbcsports.com/live,1,nbcsports,www,com,9,1,5,1,2.321928094887362,0.0,29,0,0,0,0,10786,536
http://zxazhdtshg.duckdns.org,0,duckdns,zxazhdtshg,org,7,1,0,0,0.0,0.0,29,0,0,0,0,4537,1306
skymem.com/document.aspx?name=email-2011-3-3t10-53-30.2701z-8125a497bb124b879b9c6f5c4323ab87,1,skymem,,com,6,0,24,2,3.834962500721156,0.0,92,0,6,1,0,6704,235
evri.com/person/marcus-ward-0x3143a,1,evri,,com,4,0,35,3,4.307714802597438,0.14285714285714285,35,0,2,0,0,7986,49
https://server.ytx999.cn/powan,0,ytx999,server,cn,6,1,6,1,2.584962500721156,0.0,30,0,0,0,1,-1,-1
http://ahzyikbdjx.duckdns.org/,0,duckdns,ahzyikbdjx,org,7,1,1,0,-0.0,0.0,30,0,0,0,0,4537,1306
kintazona.com/aol/index.htm,0,kintazona,,com,9,0,27,3,3.856196298219379,0.0,27,0,0,0,0,-1,-1
https://paypay-bans.com/client/index.html,0,paypay-bans,,com,11,0,18,2,3.5032583347756456,0.0,41,0,1,0,1,-1,-1
wn.com/Espace_musique,1,wn,,com,2,0,21,2,3.916126946588284,0.0,21,0,0,0,0,11133,3112
www.beneli.be/jkYTFhb7,0,beneli,www,be,6,1,22,2,3.720128777433188,0.045454545454545456,22,0,0,0,0,6492,-1
https://accountinfoupdate.link/,0,accountinfoupdate,,link,17,0,1,0,-0.0,0.0,31,0,0,0,1,-1,-1
espn.go.com/mlb/history/season/_/year/1958,1,go,espn,com,2,1,42,7,4.243158791671846,0.09523809523809523,42,0,0,0,0,10110,115
zoocrewconstruction.co/wp-content/plugins/quick-setup/mailupdate/others/ii.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fid=4&amp;fav.1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;username&amp;username1&amp;domain&amp;.rand=13InboxLight.aspx?n=1774256418,0,zoocrewconstruction,,co,19,0,78,7,4.2222499387136825,0.0,320,0,2,14,0,-1,-1
spoke.com/info/pErm32K/HonPatricia,1,spoke,,com,5,0,34,4,4.219528282299547,0.058823529411764705,34,0,0,0,0,10506,814
167.99.181.174,0,167.99.181.174,,,14,0,14,1,2.610577243331642,0.7857142857142857,14,0,0,0,0,-1,-1
http://www.discounttiredirect.com/direct/tires/nokian/home.do,1,discounttiredirect,www,com,18,1,28,4,3.7264741182543757,0.0,61,0,0,0,0,10350,242
flyingsquadron.com/,1,flyingsquadron,,com,14,0,19,1,4.037401197654112,0.0,19,0,0,0,0,6811,493
https://yk49dwdd.duckdns.org/,0,duckdns,yk49dwdd,org,7,1,1,0,-0.0,0.0,29,0,0,0,1,4537,1306
ghostsofnorthdakota.com/tag/grain-elevators/,1,ghostsofnorthdakota,,com,19,0,44,3,4.010599664958788,0.0,44,0,1,0,0,7792,242
ucomparehealthcare.com/drs/william_halford/,1,ucomparehealthcare,,com,18,0,43,3,4.027684161971456,0.0,43,0,0,0,0,7665,4
usa-people-search.com/Find-Tina-M-Shifflett.aspx,1,usa-people-search,,com,17,0,48,2,4.379247855285172,0.0,48,0,5,0,0,7680,354
freebase.com/view/en/hbo_films,1,freebase,,com,8,0,30,4,3.961406329721843,0.0,30,0,0,0,0,8017,383
paypal.com.kugla.de/xcv/de/cgi-bin/webscr.cmd=_profile-credit-card-new-clickthru.php,0,kugla,paypal.com,de,5,2,84,5,4.514972864874848,0.0,84,0,5,0,0,-1,-1
http://www.itcareerfinder.com/it-careers/software-engineer.html,1,itcareerfinder,www,com,14,1,34,2,3.90320806164768,0.0,63,0,2,0,0,5323,155
amazon.com/Barbara-Bennett-Woodhouse/e/B001IXM9EI,1,amazon,,com,6,0,49,4,4.441568140944514,0.08163265306122448,49,0,2,0,0,11275,411
shinsaekyung.cf/len/,0,shinsaekyung,,cf,12,0,20,2,3.784183719779189,0.0,20,0,0,0,0,-1,-1
zonasegura1.dns1w.site,0,dns1w,zonasegura1,site,5,1,22,1,3.788754913993503,0.09090909090909091,22,0,0,0,0,-1,-1
youtube.com/watch?v=mr6s5Uo8Kt4,1,youtube,,com,7,0,17,2,3.616874605956222,0.0,31,0,0,1,0,7516,153
amazon.com/Nevada-Atlas-Gazetteer-Delorme/dp/0899333346,1,amazon,,com,6,0,55,4,4.457832667716092,0.18181818181818182,55,0,3,0,0,11275,411
https://ekicomjp.luminairer.com/,0,luminairer,ekicomjp,com,10,1,1,0,-0.0,0.0,32,0,0,0,1,443,-79
manta.com/ic/mt6t4kr/ca/davignon-marie-claude,1,manta,,com,5,0,45,5,4.074643373867067,0.044444444444444446,45,0,2,0,0,7919,116
https://www.smdc-aeod.bwvoduq.presse.ci/,0,presse,www.smdc-aeod.bwvoduq,ci,6,3,1,0,-0.0,0.0,40,0,1,0,1,1977,213
www.ssdidimdol.org/images/properties/index.htm,0,ssdidimdol,www,org,10,1,46,4,3.9988018367653253,0.0,46,0,0,0,0,-1,-1
http://plex.ir/work/offset/index.php,0,plex,,ir,4,0,22,3,3.8796640049025943,0.0,36,0,0,0,0,-1,-1
http://amaozn.co.jp.accountsquimyamzom.shop/,0,accountsquimyamzom,amaozn.co.jp,shop,18,3,1,0,-0.0,0.0,44,0,0,0,0,-1,-1
https://agenturstoop2.ch/wp-includes/index.html?GHVthXseZzERDXftGVYBHUnjIMjnKBjFCxrdXFTCHyjgJNUHgvHFCdgJHVJFcdRXfDtc,0,agenturstoop2,,ch,13,0,23,2,4.001822825622231,0.0,116,0,1,1,1,-1,-1
http://radiotajy.com/wp-content/themes/musicpro/css/cgi-index.php,0,radiotajy,,com,9,0,45,5,4.027979696753515,0.0,65,0,2,0,0,-1,-1
en.wikipedia.org/wiki/Psychiatrist_Irabu_series,1,wikipedia,en,org,9,1,47,3,4.176825287801819,0.0,47,0,0,0,0,9010,120
www.chinahry.com/pps/Woolworths_Customer_survery.html,0,chinahry,www,com,8,1,53,3,4.26595925729218,0.0,53,0,0,0,0,276,88
spaldinggenealogy.com/samuel_maddox.htm,1,spaldinggenealogy,,com,17,0,39,2,4.111698692943855,0.0,39,0,0,0,0,2024,167
https://notice.s5zen.com/SubscribeClick.aspx?=jp&=&=,0,s5zen,notice,com,5,1,20,1,3.9219280948873627,0.0,52,0,0,3,1,-1,-1
secure-secppls.com,0,secure-secppls,,com,14,0,18,1,3.266332639970623,0.0,18,0,1,0,0,-1,-1
www.lml.bas.bg/iccs2002/,1,bas,www.lml,bg,3,2,24,2,3.6053885422075336,0.16666666666666666,24,0,0,0,0,-1,-1
specifica-service-it.eu,0,specifica-service-it,,eu,20,0,23,1,3.44726249944121,0.0,23,0,2,0,0,-1,-1
article.wn.com/view/2011/11/04/Fanatics_Henry_Rollins_KCRW_Show_Tomorrow_Night_New_Track_fr/,1,wn,article,com,2,1,92,6,4.743260804109598,0.08695652173913043,92,0,0,0,0,11133,3112
beast.3utilities.com,0,3utilities,beast,com,10,1,20,1,3.5464393446710156,0.05,20,0,0,0,0,9400,826
http://yourbusiness.azcentral.com/disadvantages-proprietary-software-22441.html,1,azcentral,yourbusiness,com,9,1,46,1,4.3523814564716385,0.10869565217391304,79,0,3,0,0,11007,314
www.centralatacadista.com.br/~mpolvora/accounts.department.online.team/webscr.php,0,centralatacadista,www,com.br,17,1,81,4,4.142992868807563,0.0,81,0,0,0,0,1187,-92
http://timelineimages-0540409906.financialdesign.mx/connect.html?timelimit=0c6da9621611d6987687815516231f43,0,financialdesign,timelineimages-0540409906,mx,15,1,13,1,3.238901256602631,0.0,107,0,1,1,0,-1,-1
nydailynews.com/topics/Dave+Stewart,1,nydailynews,,com,11,0,35,3,4.264578373902383,0.0,35,0,0,0,0,11129,194
okezone.online,0,okezone,,online,7,0,14,1,2.7884504573082896,0.0,14,0,0,0,0,-1,-1
timesofindia.indiatimes.com/topic/Thane-Municipal-Corporation,1,indiatimes,timesofindia,com,10,1,61,3,4.1115916505017704,0.0,61,0,2,0,0,10523,67
sandrorafanelli.com/,1,sandrorafanelli,,com,15,0,20,1,3.684183719779189,0.0,20,0,0,0,0,5786,57
www.mecha.com/~conkle/lightspeed,1,mecha,www,com,5,1,32,3,4.077819531114783,0.0,32,0,0,0,0,10238,352
en.wikipedia.org/wiki/Stacey_Jackson,1,wikipedia,en,org,9,1,36,3,4.117861029749889,0.0,36,0,0,0,0,9010,120
dereed.com/,1,dereed,,com,6,0,11,1,2.8453509366224368,0.0,11,0,0,0,0,-1,-1
www.vimas.com/ve_server_sdk.htm,1,vimas,www,com,5,1,31,2,3.90486324545201,0.0,31,0,0,0,0,10141,84
morgner.com/ogl/,1,morgner,,com,7,0,16,2,3.202819531114783,0.0,16,0,0,0,0,10287,303
psa.perrydale.com/,0,perrydale,psa,com,9,1,18,1,3.614369445886757,0.0,18,0,0,0,0,8218,182
joshdult.net/9p4eh,0,joshdult,,net,8,0,18,2,3.8365916681089787,0.1111111111111111,18,0,0,0,0,3243,43
en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters,1,wikipedia,en,org,9,1,52,3,4.255835574318712,0.0,52,0,0,0,0,9010,120
www.mojotoad.com/sisk/projects/Finance-QuoteHist/,1,mojotoad,www,com,8,1,49,4,4.216152190789069,0.0,49,0,1,0,0,9873,352
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/5ca4504826fba6d/?cmd=_update&dispatch=5ca4504826fba6dcd&locale=_US,0,duilawyeryork,support-appleld.com.secureupdate,com,13,3,20,2,3.5464393446710156,0.45,128,0,1,3,1,5870,338
https://avrzoe.vmei.msainte.com/,0,msainte,avrzoe.vmei,com,7,2,1,0,-0.0,0.0,32,0,0,0,1,-1,-1
www.smarttv.in/rss/new/,1,smarttv,www,in,7,1,23,3,3.4144413036949723,0.0,23,0,0,0,0,2166,25
checkidentity0.com,0,checkidentity0,,com,14,0,18,1,3.5724312513221195,0.05555555555555555,18,0,0,0,0,-1,-1
kemnet.co.ke,0,kemnet,,co.ke,6,0,12,1,2.8553885422075336,0.0,12,0,0,0,0,7034,271
http://computer.howstuffworks.com/bittorrent1.htm,1,howstuffworks,computer,com,13,1,16,1,3.375,0.0625,49,0,0,0,0,9927,1759
webexert.com,0,webexert,,com,8,0,12,1,3.188721875540867,0.0,12,0,0,0,0,3104,182
weatheringthefinancialstorm.org/,1,weatheringthefinancialstorm,,org,27,0,32,1,3.92095859334435,0.0,32,0,0,0,0,-1,-1
https://secured-sign-in-recovery-account.undetected-login-access.com/?babi,0,undetected-login-access,secured-sign-in-recovery-account,com,23,1,1,0,-0.0,0.0,74,0,6,1,1,-1,-1
canpages.ca/page/QC/saint-hubert/commission-scolaire-marie-victorin-ecoles-secondaires-andre-laurendeau/4967573.html,1,canpages,,ca,8,0,116,6,4.421283222196843,0.0603448275862069,116,0,8,0,0,7018,286
http://www.steelteo.com/cis_biz_contract/,0,steelteo,www,com,8,1,18,1,3.4613201402110083,0.0,41,0,0,0,0,-1,-1
usldiscussions.com/ubbthreads/ubbthreads.php/topics/152200/W_League_vs_WPSL,1,usldiscussions,,com,14,0,75,6,4.594917444078206,0.08,75,0,0,0,0,838,257
mcafee-team.com,0,mcafee-team,,com,11,0,15,1,3.0062389286533895,0.0,15,0,1,0,0,-1,-1
jyxiangqin.com/487ygfh,0,jyxiangqin,,com,10,0,22,2,4.095795255000934,0.13636363636363635,22,0,0,0,0,-1,-1
qualifiedplans.com/components/AtualizacaoModuloSeguranca2016H1aJtXY8GT8Z9eas5LzdH4/index.php,0,qualifiedplans,,com,14,0,92,4,4.985268005267103,0.10869565217391304,92,0,0,0,0,8131,269
hampshirepolicechoir.org.uk/,1,hampshirepolicechoir,,org.uk,20,0,28,1,3.842370993177109,0.0,28,0,0,0,0,7656,13
parallel.bas.bg/Conferences/SciCom99.html,1,bas,parallel,bg,3,1,41,3,4.247557492317426,0.04878048780487805,41,0,0,0,0,-1,-1
www.norman-staff.yolasite.com,0,yolasite,www.norman-staff,com,8,2,29,1,3.857306856898128,0.0,29,0,1,0,0,6369,569
https://www.tdcanadatrust.com/products-services/small-business/smallbusiness-index.jsp,1,tdcanadatrust,www,com,13,1,57,3,4.014491058169223,0.0,86,0,3,0,1,9402,459
covers.com/pageLoader/pageLoader.aspx?page=/data/cfl/injury/injuries.html,1,covers,,com,6,0,37,3,3.730289691218124,0.0,73,0,0,1,0,10966,355
